"Story","Title","Result","Date","Stability","Duration (s)"
"Inicio de Sesión","Simular compra de productos","SUCCESS","2024-07-09T11:55:57.7465665-05:00[America/Bogota]","0.0","35.6"
"As a user, I want to log in to OpenCart to check different functionalities","Test the correct new account registration","SUCCESS","2024-04-05T10:39:31.0536506-05:00[America/Bogota]","0.0","55.17"
"As a user, I want to log in to OpenCart to check different functionalities","Add orders to cart","FAILURE","2024-04-05T10:40:26.5213314-05:00[America/Bogota]","0.0","54.37"
"As a user, I want to log in to OpenCart to check different functionalities","i place the order","FAILURE","2024-04-05T10:41:21.3129764-05:00[America/Bogota]","0.0","59.0"
