"Story","Title","Result","Date","Stability","Duration (s)"
"Inicio de Sesión","Iniciar sesión con credenciales inválidas","SUCCESS","2024-07-07T17:38:42.3351913-05:00[America/Bogota]","0.0","8.99"
"Inicio de Sesión","Simular compra de productos","SUCCESS","2024-07-07T17:39:15.0267-05:00[America/Bogota]","0.0","34.85"
