"Story","Title","Result","Date","Stability","Duration (s)"
"Inicio de Sesión","Agregar productos al carrito","SUCCESS","2024-07-05T15:58:05.2895265-05:00[America/Bogota]","0.0","16.91"
"Inicio de Sesión","Iniciar sesión con credenciales válidas","SUCCESS","2024-07-09T11:55:00.9441592-05:00[America/Bogota]","0.0","18.53"
"Inicio de Sesión","Iniciar sesión con credenciales inválidas","SUCCESS","2024-07-09T11:55:19.6278906-05:00[America/Bogota]","0.0","11.39"
"Inicio de Sesión","Agregar productos al carrito y ver los productos en el carrito","SUCCESS","2024-07-09T11:55:31.2858287-05:00[America/Bogota]","0.0","26.17"
